intron	logef	B	MO	deltapsi
chr1:11070973:11072087:clu_15712_-	0.301171529912658	0.951901504586227	0.973078871940898	0.0211773673546708
chr1:11070988:11072087:clu_15712_-	-0.301171529912658	0.0480984954137727	0.026921128059102	-0.0211773673546707
chr1:244418914:244420170:clu_16796_-	0.437004102510311	0.638800305483293	0.52625716987722	-0.112543135606072
chr1:244418914:244422835:clu_16796_-	-1.44956627705843	0.0413160446029726	0.00515970108705629	-0.0361563435159163
chr1:244420296:244422835:clu_16796_-	1.01256217454812	0.319883649913735	0.468583129035723	0.148699479121989
chr10:73397274:73398181:clu_21389_-	0.0773301768553018	0.356083168486614	0.347695359554752	-0.00838780893186192
chr10:73397274:73400803:clu_21389_-	-0.224501582690367	0.00811190331251366	0.00585715000525883	-0.00225475330725483
chr10:73398385:73400803:clu_21389_-	0.0994131536667553	0.437156615251983	0.436390229524484	-0.000766385727498542
chr10:73398385:73414012:clu_21389_-	0.114771905845044	0.0176714655424562	0.0179135125901303	0.000242047047674041
chr10:73400857:73408176:clu_21389_-	-0.239604477440355	0.00615136211832164	0.00437497696891635	-0.00177638514940529
chr10:73400857:73414012:clu_21389_-	0.172590823763622	0.174825485288112	0.187768771356459	0.0129432860683465
chr16:1963256:1964276:clu_13711_-	0.711084367426341	0.04046139670938	0.0676391970222564	0.0271778003128764
chr16:1963256:1964449:clu_13711_-	-0.897636628783463	0.0259204188631953	0.00867243266569765	-0.0172479861974977
chr16:1964365:1964449:clu_13711_-	0.186552261357122	0.933618184427425	0.923688370312046	-0.00992981411537874
chr1:234393837:234398382:clu_16751_-	-0.140626088470396	0.410305166634986	0.396965702676194	-0.0133394639587919
chr1:234393837:234401181:clu_16751_-	0.623412008026478	0.0346317136865287	0.0719345467973563	0.0373028331108276
chr1:234398553:234400853:clu_16751_-	-0.295969349071482	0.145412207537291	0.120443161551924	-0.0249690459853674
chr1:234398553:234401181:clu_16751_-	-0.0123264827784451	0.167138269458339	0.183840719969195	0.0167024505108564
chr1:234400948:234401181:clu_16751_-	-0.174490087706155	0.242512642682855	0.226815869005331	-0.0156967736775245
chr19:47380992:47381186:clu_15439_+	-0.112225578569718	0.56442187644405	0.508668294960206	-0.0557535814838431
chr19:47381324:47381980:clu_15439_+	0.112225578569718	0.43557812355595	0.491331705039794	0.0557535814838431
chr6:158631389:158631810:clu_13633_+	-0.217284417233256	0.70540638926016	0.607927396386806	-0.0974789928733534
chr6:158631389:158633419:clu_13633_+	0.217284417233256	0.294593610739841	0.392072603613194	0.0974789928733531
chr3:141586752:141607678:clu_10702_+	0.707801296110118	0.830318563032508	0.952731510851313	0.122412947818805
chr3:141586755:141607678:clu_10702_+	-0.707801296110118	0.169681436967492	0.0472684891486865	-0.122412947818805
chr1:40408738:40409757:clu_7700_+	0.581435607122846	0.995657695560572	0.99863858664943	0.00298089108885846
chr1:40408738:40409759:clu_7700_+	-0.581435607122846	0.00434230443942844	0.00136141335056995	-0.00298089108885849
chr1:108776423:108779286:clu_7891_+	0.174985825509754	0.571982545766253	0.532862101807128	-0.0391204439591246
chr1:108776423:108782422:clu_7891_+	-0.61973581810045	0.0689112173573997	0.0289987150639841	-0.0399125022934157
chr1:108779410:108782422:clu_7891_+	0.444749992590695	0.359106236876347	0.438139183128887	0.0790329462525402
chr1:236582872:236583013:clu_16786_-	0.572018203108597	0.459822308742747	0.744056035775974	0.284233727033227
chr1:236582872:236585025:clu_16786_-	0.311829541160773	0.0598900434701389	0.0747087955022027	0.0148187520320638
chr1:236583196:236585025:clu_16786_-	-0.88384774426937	0.480287647787114	0.181235168721823	-0.299052479065291
chr15:40284531:40289272:clu_1381_-	-0.22447593161645	0.00399023196634166	0.0272227368544501	0.0232325048881084
chr15:40286074:40289272:clu_1381_-	4.28112536139983	3.9320301697322e-05	0.0242833311461331	0.0242440108444358
chr15:40288642:40289272:clu_1381_-	-1.85338218928753	0.023284846192913	0.031158892720142	0.00787404652722891
